time,Fx,Fy,Fz
0.008000,0.000000,0.000000,140.030610
0.010000,0.000000,0.000000,146.003119
0.012000,0.000000,0.000000,152.079346
0.014000,0.000000,0.000000,158.250430
0.016000,0.000000,0.000000,163.962784
0.018000,0.000000,0.000000,170.844625
0.020000,0.000000,0.000000,177.258333
0.022000,0.000000,0.000000,182.995370
0.024000,0.000000,0.000000,189.481478
0.026000,0.000000,0.000000,196.033895
0.028000,0.000000,0.000000,202.650949
0.030000,0.000000,0.000000,201.260656
0.032000,0.000000,0.000000,199.252420
0.034000,0.000000,0.000000,197.767622
0.036000,0.000000,0.000000,195.093987
0.038000,0.000000,0.000000,192.051953
0.040000,0.000000,0.000000,188.820679
0.042000,0.000000,0.000000,184.881853
0.044000,0.000000,0.000000,181.674896
0.046000,0.000000,0.000000,179.175730
0.048000,0.000000,0.000000,176.147620
0.050000,0.000000,0.000000,173.102566
0.052000,0.000000,0.000000,169.680668
0.054000,0.000000,0.000000,166.830988
0.056000,0.000000,0.000000,164.507315
0.058000,0.000000,0.000000,161.568488
0.060000,0.000000,0.000000,159.034891
0.062000,0.000000,0.000000,156.891237
0.064000,0.000000,0.000000,154.326068
0.066000,0.000000,0.000000,152.094346
0.068000,0.000000,0.000000,149.992520
0.070000,0.000000,0.000000,148.001616
0.072000,0.000000,0.000000,146.241010
0.074000,0.000000,0.000000,144.312179
0.076000,0.000000,0.000000,142.589454
0.078000,0.000000,0.000000,140.968237
0.080000,0.000000,0.000000,139.438136
0.082000,0.000000,0.000000,137.991305
0.084000,0.000000,0.000000,136.620685
0.086000,0.000000,0.000000,135.320923
0.088000,0.000000,0.000000,134.089466
0.090000,0.000000,0.000000,132.923579
0.092000,0.000000,0.000000,131.830542
0.094000,0.000000,0.000000,130.792849
0.096000,0.000000,0.000000,129.806857
0.098000,0.000000,0.000000,128.867501
0.100000,0.000000,0.000000,127.969524
0.102000,0.000000,0.000000,127.107932
0.104000,0.000000,0.000000,126.278092
0.106000,0.000000,0.000000,125.475825
0.108000,0.000000,0.000000,124.696936
0.110000,0.000000,0.000000,123.937206
0.112000,0.000000,0.000000,123.192336
0.114000,0.000000,0.000000,122.458504
0.116000,0.000000,0.000000,121.732443
0.118000,0.000000,0.000000,121.010666
0.120000,0.000000,0.000000,120.289889
0.122000,0.000000,0.000000,119.567029
0.124000,0.000000,0.000000,118.839185
0.126000,0.000000,0.000000,118.103634
0.128000,0.000000,0.000000,117.357855
0.130000,0.000000,0.000000,116.615540
0.132000,0.000000,0.000000,115.858631
0.134000,0.000000,0.000000,115.075714
0.136000,0.000000,0.000000,114.264990
0.138000,0.000000,0.000000,113.430628
0.140000,0.000000,0.000000,112.577274
0.142000,0.000000,0.000000,111.707173
0.144000,0.000000,0.000000,110.818148
0.146000,0.000000,0.000000,109.906308
0.148000,0.000000,0.000000,108.969290
0.150000,0.000000,0.000000,108.012089
0.152000,0.000000,0.000000,106.676211
0.154000,0.000000,0.000000,106.028530
0.156000,0.000000,0.000000,105.048325
0.158000,0.000000,0.000000,104.008995
0.160000,0.000000,0.000000,102.933999
0.162000,0.000000,0.000000,101.839214
0.164000,0.000000,0.000000,100.734304
0.166000,0.000000,0.000000,99.620708
0.168000,0.000000,0.000000,98.495048
0.170000,0.000000,0.000000,97.353683
0.172000,0.000000,0.000000,96.195420
0.174000,0.000000,0.000000,95.021781
0.176000,0.000000,0.000000,93.835818
0.178000,0.000000,0.000000,92.640765
0.180000,0.000000,0.000000,91.442830
0.182000,0.000000,0.000000,90.244340
0.184000,0.000000,0.000000,89.045100
0.186000,0.000000,0.000000,87.844720
0.188000,0.000000,0.000000,86.643877
0.190000,0.000000,0.000000,85.444200
0.192000,0.000000,0.000000,84.248056
0.194000,0.000000,0.000000,83.058227
0.196000,0.000000,0.000000,81.877322
0.198000,0.000000,0.000000,80.707941
0.200000,0.000000,0.000000,79.552647
0.202000,0.000000,0.000000,78.414001
0.204000,0.000000,0.000000,77.294797
0.206000,0.000000,0.000000,76.219769
0.208000,0.000000,0.000000,75.191399
0.210000,0.000000,0.000000,74.198719
0.212000,0.000000,0.000000,73.225845
0.214000,0.000000,0.000000,72.264218
0.216000,0.000000,0.000000,71.314109
0.218000,0.000000,0.000000,70.382601
0.220000,0.000000,0.000000,69.479446
0.222000,0.000000,0.000000,68.614753
0.224000,0.000000,0.000000,67.795407
0.226000,0.000000,0.000000,66.396668
0.228000,0.000000,0.000000,65.691157
0.230000,0.000000,0.000000,67.401420
0.232000,0.000000,0.000000,68.643128
0.234000,0.000000,0.000000,69.224447
