time,Fx,Fy,Fz
0.268000,36.092746,2.875210,124.629373
0.270000,36.442618,3.201814,123.056779
0.272000,36.779997,3.527733,121.523839
0.274000,37.074623,3.819569,120.128236
0.276000,37.379178,3.992277,118.723686
0.278000,37.429048,4.015601,117.489924
0.280000,37.661898,4.402918,116.172411
0.282000,37.891297,4.707791,114.844986
0.284000,38.142778,5.013702,113.541896
0.286000,38.394103,5.159679,112.313245
0.288000,38.627791,5.446393,111.079347
0.290000,38.833196,5.814016,109.929692
0.292000,39.031319,6.090375,108.769670
0.294000,39.214985,6.354821,107.655037
0.296000,39.386573,6.599836,106.576241
0.298000,39.556261,6.732417,105.581666
0.300000,39.698761,6.954824,104.584284
0.302000,39.826524,7.163754,103.628801
0.304000,39.297056,6.539028,103.195369
0.306000,39.279610,6.708798,102.416731
0.308000,39.365087,6.876195,101.672375
0.310000,39.504103,6.990754,100.913116
0.312000,39.587115,7.161660,100.164684
0.314000,39.658624,7.320338,99.445484
0.316000,39.706884,7.471197,98.762034
0.318000,39.742519,7.607061,98.114134
0.320000,39.776806,7.709476,97.557560
0.322000,39.790136,7.809644,97.013240
0.324000,39.752983,7.906745,96.497760
0.326000,39.737883,7.989328,95.985697
0.328000,38.905560,6.826007,96.085399
0.330000,38.823818,6.769221,95.736172
0.332000,38.880852,7.210059,94.045610
0.334000,38.874162,6.918903,94.996060
0.336000,38.884477,7.001243,94.625341
0.338000,38.903094,7.039228,94.412751
0.340000,38.747869,7.022303,94.174234
0.342000,38.743861,7.054072,93.893951
0.344000,38.975109,7.545792,92.012492
0.346000,39.073480,7.244415,93.232226
0.348000,38.976331,7.219165,93.044805
0.350000,38.871057,7.159712,92.946887
0.352000,38.926568,7.193161,92.789441
0.354000,37.926735,5.831765,93.252544
0.356000,37.844868,5.741315,93.130816
0.358000,37.896718,5.810658,92.949026
0.360000,37.966900,5.893673,92.771367
0.362000,38.038031,5.971403,92.605315
0.364000,38.100712,6.059830,92.438836
0.366000,38.162276,6.140235,92.286259
0.368000,38.231112,6.193149,92.157140
0.370000,38.300738,6.236480,92.039105
0.372000,38.719088,6.534141,91.709160
0.374000,38.061823,6.102621,91.897552
0.376000,38.439527,6.297220,91.779589
0.378000,36.321977,4.737336,92.971212
0.380000,36.330969,4.749772,92.924267
0.382000,36.254582,4.717656,92.762938
0.384000,37.725662,5.654218,92.084577
0.386000,37.726311,5.654844,91.897044
0.388000,38.608792,6.148053,91.569839
0.390000,37.897790,5.576928,91.951706
0.392000,38.140663,5.706125,91.827534
0.394000,38.523927,5.909248,91.640878
0.396000,38.927242,6.111347,91.455410
0.398000,39.369037,6.333464,91.269839
0.400000,40.711729,6.590031,90.461470
0.402000,44.361272,8.504618,88.925108
0.404000,35.436992,4.567261,93.343293
0.406000,37.113857,5.055364,92.550982
0.408000,39.302300,5.558924,91.601584
0.410000,40.965967,5.838906,90.928314
0.412000,43.421581,6.996268,89.740991
0.414000,43.908840,6.784014,89.841901
0.416000,15.729137,39.769596,231.133638
0.418000,15.144731,40.937238,235.937830
0.420000,16.774738,37.889452,228.506409
0.422000,17.988810,34.246715,220.052558
0.424000,19.349506,30.347317,211.140790
0.426000,24.784331,29.841992,208.860504
0.428000,26.062510,24.686024,197.226427
0.430000,27.942322,22.403249,191.362476
0.432000,28.090771,16.971811,179.730425
0.434000,30.088367,13.771665,171.405357
0.436000,31.428368,10.220728,162.941484
0.438000,33.712690,8.692895,158.312071
0.440000,33.826940,5.121807,150.136435
0.442000,34.863871,2.779146,144.254432
0.444000,35.248420,0.004972,138.115116
0.446000,36.381380,-1.091200,133.926066
0.448000,37.028305,-2.407846,129.890434
0.450000,37.271410,-4.291173,125.389579
0.452000,38.151889,-4.892987,121.934967
0.454000,37.708962,-3.824454,119.639129
0.456000,38.365922,-4.106813,116.502178
0.458000,38.674087,-5.098606,113.055322
0.460000,38.898292,-6.118646,109.674290
0.462000,40.613172,-6.130346,106.694874
0.464000,40.768111,-7.076363,103.367506
0.466000,39.085564,-9.013988,100.091905
0.468000,38.900832,-10.233443,96.656519
0.470000,40.614038,-10.075723,93.482618
0.472000,40.286624,-11.079759,90.838519
0.474000,38.735665,-11.942893,89.404965
0.476000,38.506936,-12.490452,87.226772
0.478000,38.377263,-11.922496,85.587457
0.480000,40.438525,-11.076151,82.245215
0.482000,38.603299,-11.848848,82.133613
0.484000,39.616339,-12.230937,78.532432
0.486000,37.662137,-12.895536,79.073636
0.488000,39.147970,-12.778622,75.179428
0.490000,37.221272,-13.130729,76.421769
0.492000,36.813317,-13.206312,75.601559
0.494000,36.986823,-12.780040,74.616641
0.496000,36.683702,-12.717910,73.989301
0.498000,36.467885,-12.453856,73.238765
0.500000,36.077906,-12.357227,72.891244
0.502000,35.737839,-12.138733,72.616541
0.504000,36.042930,-11.724155,71.559255
0.506000,35.753513,-11.406915,71.371117
0.508000,35.398218,-11.086075,71.236572
0.510000,34.957537,-10.794937,71.257202
0.512000,34.500882,-10.481163,71.398483
0.514000,34.101961,-10.103731,71.705198
0.516000,33.709596,-9.690372,72.123033
0.518000,33.258484,-9.274313,72.638179
0.520000,32.816641,-8.839657,73.251401
0.522000,32.591752,-8.284048,73.627999
0.524000,32.107430,-7.901786,74.599897
0.526000,31.749331,-7.452411,75.379091
0.528000,31.408035,-7.703490,75.969887
0.530000,30.867376,-7.396598,77.229557
0.532000,30.732800,-6.850605,77.695916
0.534000,30.481648,-6.391962,78.456432
0.536000,30.196081,-5.944010,79.320175
0.538000,29.712520,-5.616764,80.732538
0.540000,29.482500,-5.224097,81.642275
0.542000,29.222104,-4.849206,82.645554
0.544000,29.064069,-4.469496,83.501106
0.546000,28.882146,-4.111141,84.443861
0.548000,28.728228,-3.767957,85.363787
0.550000,29.070536,-3.623832,83.485175
0.552000,27.356834,-5.437572,88.208609
0.554000,26.865206,-5.011747,91.786405
0.556000,26.599414,-4.926836,93.192906
0.558000,26.568771,-4.561398,94.064009
0.560000,26.666303,-4.186315,94.329119
0.562000,26.814193,-4.166088,92.889449
0.564000,26.888684,-3.513783,94.568343
0.566000,26.985542,-3.197149,94.662155
0.568000,27.081315,-2.876720,94.898518
0.570000,27.181177,-2.645953,94.890322
0.572000,27.274662,-2.446972,94.828058
0.574000,27.361974,-2.272069,94.736975
0.576000,27.432617,-2.103880,94.651065
0.578000,21.952702,-11.819145,105.992853
0.580000,21.825356,-11.918865,106.174934
0.582000,22.567152,-10.566724,104.592398
0.584000,23.439000,-9.002035,102.734460
0.586000,24.403636,-7.230909,100.675523
0.588000,25.383095,-5.440651,98.593559
0.590000,26.239176,-3.924907,96.787728
0.592000,27.066963,-2.487370,95.062380
0.594000,27.072443,-1.138032,93.718447
0.596000,31.382436,1.199258,85.177958
0.598000,29.407682,2.705672,90.820773
0.600000,30.260241,4.210190,89.180423
0.602000,31.519623,4.020389,79.122647
0.604000,-36.857802,-26.899580,419.031625
0.606000,-34.688466,-24.432319,427.549329
0.608000,-31.815886,-22.446642,424.728119
0.610000,-30.875422,-21.501525,421.471103
0.612000,-29.688295,-20.682644,417.950729
0.614000,-28.225836,-19.994210,413.914244
0.616000,-26.610102,-19.245544,409.171620
0.618000,-24.853146,-18.209540,403.677312
0.620000,-27.151695,-18.193996,394.594081
0.622000,-28.729680,-17.799378,383.862073
0.624000,-29.784048,-16.976663,371.278338
0.626000,-29.185551,-15.243239,357.149987
0.628000,-38.303880,-23.473361,346.267240
0.630000,-37.613386,-22.093385,331.257052
0.632000,-35.355740,-19.376121,315.379609
0.634000,-32.904259,-16.403917,299.105922
0.636000,-30.385252,-12.013421,283.347084
0.638000,-26.946263,-9.260634,268.918121
0.640000,-23.082517,-7.830399,255.505725
0.642000,-19.701661,-3.708703,240.944866
0.644000,-16.024990,-0.987062,227.416474
0.646000,-12.381719,0.574127,214.758371
0.648000,-9.181207,2.814564,203.274724
0.650000,-6.053446,5.804185,192.056609
0.652000,-2.810876,7.745761,181.037535
0.654000,-3.034839,5.011228,173.246317
0.656000,-0.912811,6.104723,164.458213
0.658000,1.421191,7.406961,156.017229
0.660000,3.732154,8.733458,147.412314
0.662000,5.733918,9.785925,139.928942
0.664000,7.534994,10.683987,132.961115
0.666000,9.249334,11.389029,126.442221
0.668000,10.577109,12.076445,120.348471
0.670000,11.805929,12.596152,114.672962
0.672000,12.872949,12.993735,109.411510
0.674000,13.860467,13.374236,104.086831
0.676000,18.679840,15.699634,95.972562
0.678000,16.382575,14.974699,94.440483
0.680000,16.297282,14.877066,91.061175
0.682000,16.238564,14.722797,87.617494
0.684000,16.380396,14.546475,84.278555
0.686000,16.448836,14.283880,81.269394
0.688000,19.698120,15.077630,74.928247
0.690000,19.597342,14.659458,72.754683
0.692000,15.921167,12.896374,75.109478
0.694000,14.954026,12.151385,74.122366
0.696000,14.079416,11.386405,73.283439
0.698000,13.792569,10.786441,71.953167
0.700000,13.281897,10.091540,71.023037
0.702000,12.521573,9.288194,70.668107
0.704000,16.266862,13.451177,64.932986
0.706000,19.205943,14.774567,59.254168
0.708000,15.269025,12.254055,63.737174
0.710000,14.058727,11.126893,64.096115
0.712000,13.013612,10.040304,64.513369
0.714000,12.154876,9.045492,64.834543
0.716000,13.696986,9.383364,61.116258
0.718000,10.050197,6.839567,66.353047
0.720000,9.492684,6.030788,66.516302
0.722000,8.246382,4.834473,67.888841
0.724000,7.101426,3.604094,69.954595
0.726000,6.361469,2.709026,70.750524
0.728000,8.820938,7.035184,65.911104
