time,des_x,des_y,des_z,act_x,act_y,act_z,err,t_swing
1.706000,1.080829,-0.036708,0.243839,0.865707,-0.306968,0.132188,0.345424,0.187551
1.730000,1.236736,0.134696,0.356539,0.907076,-0.385308,0.043471,0.615694,0.246287
1.756000,1.514447,0.111605,-0.207149,0.974932,-0.463710,0.043781,0.788710,0.271287
1.780000,1.443522,0.126723,-0.299309,0.990835,-0.483510,0.043154,0.759808,0.296287
1.806000,1.262391,0.089584,-0.020551,0.924505,-0.493398,0.040446,0.673822,0.321287
1.830000,1.424681,0.036312,-0.039768,0.831272,-0.460399,0.018865,0.773858,0.346287
1.856000,1.422618,-0.120042,-0.015012,0.821676,-0.386216,0.049280,0.657252,0.371287
1.882000,1.460896,-0.277509,0.045699,0.838618,-0.170911,0.073264,0.631343,0.396287
1.904000,1.499447,-0.377185,0.036059,0.853988,-0.051758,0.029547,0.722855,0.421287
1.930000,1.213090,-0.299536,0.067085,1.126092,0.115500,0.028003,0.424056,0.075000
1.956000,1.209963,-0.338657,-0.099400,1.085878,0.003563,0.111752,0.364021,0.100000
1.980000,1.298042,-0.287631,-0.041234,1.109200,-0.111167,0.222504,0.258459,0.125000
