time,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.154000,0.140700,0.093424,0.165036,13.969748,-8.343108,-23.113962
0.156000,0.113660,-0.007956,0.141483,13.923259,-8.497841,-23.145911
0.158000,0.095572,-0.112705,0.135338,13.864908,-8.656192,-23.174003
0.160000,0.083277,-0.219018,0.139749,13.800353,-8.814378,-23.197320
0.162000,0.072498,-0.323943,0.145248,13.736427,-8.970810,-23.216218
0.164000,0.060632,-0.425441,0.145992,13.677149,-9.124516,-23.230914
0.166000,0.047437,-0.522892,0.141212,13.622775,-9.274896,-23.240999
0.168000,0.034140,-0.616597,0.133289,13.571269,-9.421537,-23.245668
0.170000,0.022177,-0.707034,0.125036,13.520334,-9.564024,-23.244084
0.172000,0.012396,-0.794372,0.118021,13.468665,-9.701837,-23.235603
0.174000,0.004933,-0.878376,0.112325,13.416111,-9.834348,-23.219800
0.176000,-0.015632,-0.970216,0.114350,13.363179,-9.960875,-23.196387
0.178000,-0.034242,-1.058947,0.116696,13.310432,-10.080745,-23.165104
0.180000,-0.051543,-1.143149,0.116770,13.260802,-10.195031,-23.127792
0.182000,-0.067513,-1.222154,0.114100,13.214431,-10.303421,-23.084440
0.184000,-0.081085,-1.296092,0.109656,13.170337,-10.405458,-23.034586
0.186000,-0.092531,-1.363936,0.104080,13.127397,-10.500631,-22.977692
0.188000,-0.100894,-1.425802,0.098033,13.084860,-10.588401,-22.913319
0.190000,-0.105356,-1.481772,0.091856,13.042452,-10.668055,-22.840973
0.192000,-0.106992,-1.530532,0.084986,13.000159,-10.738879,-22.760241
0.194000,-0.104594,-1.572413,0.077345,12.958051,-10.800192,-22.670799
0.196000,-0.098747,-1.606556,0.068603,12.916189,-10.851215,-22.572200
0.198000,-0.090140,-1.632266,0.058491,12.874480,-10.891266,-22.464092
0.200000,-0.077822,-1.649583,0.047122,12.832818,-10.919626,-22.346084
0.202000,-0.134412,-1.731202,0.077215,12.791126,-10.935553,-22.217756
0.204000,-0.178895,-1.804221,0.105646,12.749313,-10.938356,-22.078769
0.206000,-0.214013,-1.860604,0.119327,12.721710,-10.937796,-21.941849
0.208000,-0.224483,-1.882960,0.108202,12.707850,-10.933947,-21.807364
0.210000,-0.216339,-1.878273,0.080914,12.701674,-10.925536,-21.672733
0.212000,-0.189381,-1.850558,0.046263,12.693836,-10.908724,-21.532225
0.214000,-0.147828,-1.807022,0.012297,12.678544,-10.880144,-21.381466
0.216000,-0.094896,-1.751826,-0.017673,12.653885,-10.836616,-21.217329
0.218000,-0.035216,-1.690228,-0.042088,12.621198,-10.775816,-21.038347
0.220000,0.030209,-1.618164,-0.065243,12.583103,-10.696163,-20.844119
0.222000,0.096011,-1.543263,-0.085250,12.542481,-10.597144,-20.635346
0.224000,0.163228,-1.459103,-0.106459,12.500755,-10.478113,-20.412213
0.226000,1.216917,-1.645652,2.082145,12.401539,-10.319179,-20.078040
0.228000,1.285136,-1.707370,2.309262,12.360088,-10.158286,-19.827829
0.230000,0.923830,-1.393933,1.609391,13.115099,-9.892412,-19.760528
0.232000,0.552431,-0.983084,0.825356,13.890933,-9.599309,-19.608445
0.234000,0.319389,-0.603665,0.257030,14.365075,-9.325441,-19.397655
0.236000,0.252630,-0.313640,-0.006848,14.478373,-9.032665,-19.027514
0.238000,0.250145,-0.030039,-0.179694,14.438732,-8.792047,-18.785885
0.240000,0.341897,0.148329,-0.149935,14.226016,-8.477163,-18.334495
0.242000,0.440579,0.333380,-0.117575,14.009217,-8.164332,-17.944532
0.244000,0.527253,0.524295,-0.105228,13.826513,-7.828831,-17.554966
0.246000,0.600681,0.733119,-0.120946,13.682254,-7.470781,-17.164833
0.248000,0.661134,0.931799,-0.144567,13.566778,-7.093636,-16.775063
0.250000,0.717463,1.141448,-0.178610,13.467821,-6.699646,-16.384859
0.252000,0.612868,1.100192,-0.081552,13.379225,-6.294012,-15.998075
0.254000,0.556542,1.101925,-0.007581,13.296577,-5.878495,-15.615496
0.256000,0.528806,1.176813,0.004113,13.258193,-5.490157,-15.282410
0.258000,0.515064,1.299270,-0.029497,13.255629,-5.127455,-14.995522
0.260000,0.515927,1.452446,-0.084859,13.265473,-4.783067,-14.740874
0.262000,0.532884,1.621163,-0.142293,13.271807,-4.452552,-14.508918
