time,stance,left_hip_yaw,left_hip_pitch,left_knee,right_hip_yaw,right_hip_pitch,right_knee
0.146000,1,0.235226,1.028594,1.532664,-0.250037,-0.599863,1.278488
0.148000,1,0.237031,1.030207,1.527995,-0.250257,-0.599233,1.278263
0.150000,1,0.238773,1.031510,1.522978,-0.250495,-0.598618,1.278039
0.152000,1,0.240452,1.032509,1.517632,-0.250753,-0.598021,1.277813
0.154000,1,0.242065,1.033205,1.511962,-0.251030,-0.597440,1.277588
0.156000,1,0.243610,1.033594,1.505979,-0.251325,-0.596876,1.277364
0.158000,1,0.245085,1.033684,1.499684,-0.251640,-0.596330,1.277141
0.160000,1,0.246500,1.033469,1.493078,-0.251974,-0.595802,1.276921
0.162000,1,0.247857,1.032953,1.486177,-0.252329,-0.595293,1.276706
0.164000,1,0.249147,1.032135,1.478971,-0.252701,-0.594801,1.276494
0.166000,1,0.250372,1.031019,1.471475,-0.253092,-0.594326,1.276286
0.168000,1,0.251530,1.029608,1.463694,-0.253500,-0.593867,1.276082
0.170000,1,0.252616,1.027910,1.455627,-0.253924,-0.593422,1.275880
0.172000,1,0.253629,1.025928,1.447288,-0.254362,-0.592989,1.275680
0.174000,1,0.254567,1.023668,1.438683,-0.254815,-0.592567,1.275481
0.176000,1,0.255432,1.021134,1.429823,-0.255283,-0.592158,1.275284
0.178000,1,0.256221,1.018328,1.420719,-0.255766,-0.591760,1.275088
0.180000,1,0.256935,1.015256,1.411375,-0.256264,-0.591373,1.274891
0.182000,1,0.257576,1.011923,1.401796,-0.256775,-0.590996,1.274694
0.184000,1,0.258157,1.008329,1.391984,-0.257302,-0.590629,1.274499
0.186000,1,0.258676,1.004477,1.381949,-0.257843,-0.590271,1.274302
0.188000,1,0.259130,1.000373,1.371705,-0.258396,-0.589919,1.274102
0.190000,1,0.259519,0.996019,1.361256,-0.258962,-0.589572,1.273896
0.192000,1,0.259842,0.991423,1.350613,-0.259540,-0.589229,1.273684
0.194000,1,0.260098,0.986590,1.339784,-0.260127,-0.588887,1.273462
0.196000,1,0.260287,0.981526,1.328783,-0.260724,-0.588544,1.273231
0.198000,1,0.260407,0.976238,1.317618,-0.261328,-0.588199,1.272986
0.200000,1,0.260458,0.970732,1.306301,-0.261940,-0.587850,1.272727
0.202000,1,0.260439,0.965014,1.294844,-0.262559,-0.587495,1.272451
0.204000,1,0.260350,0.959091,1.283258,-0.263183,-0.587132,1.272157
0.206000,1,0.260188,0.952975,1.271564,-0.263810,-0.586755,1.271838
0.208000,1,0.259955,0.946666,1.259766,-0.264441,-0.586368,1.271496
0.210000,1,0.259639,0.940133,1.247820,-0.265077,-0.585973,1.271133
0.212000,1,0.259248,0.933430,1.235795,-0.265715,-0.585562,1.270743
0.214000,1,0.258786,0.926556,1.223749,-0.266351,-0.585129,1.270317
0.216000,0,0.258253,0.919461,1.211657,-0.266987,-0.584679,1.269854
0.218000,0,0.257783,0.913791,1.201991,-0.267675,-0.584287,1.269380
0.220000,0,0.257326,0.909477,1.194555,-0.268401,-0.583948,1.268894
0.222000,0,0.256872,0.906136,1.188572,-0.269184,-0.584308,1.269247
0.224000,0,0.256427,0.903612,1.183822,-0.270005,-0.585382,1.270476
0.226000,0,0.255998,0.901769,1.180113,-0.270858,-0.587226,1.272660
0.228000,0,0.255588,0.900509,1.177316,-0.271744,-0.589830,1.275797
0.230000,0,0.255203,0.899729,1.175271,-0.272660,-0.593180,1.279863
0.232000,0,0.254845,0.899351,1.173864,-0.273608,-0.597252,1.284821
0.234000,0,0.254500,0.899315,1.172994,-0.274561,-0.601798,1.290410
0.236000,0,0.254166,0.899559,1.172576,-0.275515,-0.606765,1.296548
0.238000,0,0.253843,0.900040,1.172542,-0.276468,-0.612071,1.303128
0.240000,0,0.253529,0.900710,1.172823,-0.277418,-0.617683,1.310087
0.242000,0,0.253223,0.901527,1.173350,-0.278362,-0.623595,1.317389
0.244000,0,0.252925,0.902456,1.174072,-0.279304,-0.629794,1.324988
0.246000,0,0.252633,0.903472,1.174945,-0.280234,-0.636239,1.332823
0.248000,0,0.252347,0.904553,1.175937,-0.281156,-0.642883,1.340829
0.250000,0,0.252068,0.905677,1.177010,-0.282067,-0.649720,1.348984
0.252000,0,0.251793,0.906827,1.178138,-0.282969,-0.656728,1.357250
0.254000,0,0.251524,0.907993,1.179301,-0.283861,-0.663863,1.365575
0.256000,0,0.251260,0.909162,1.180478,-0.284744,-0.671106,1.373930
0.258000,0,0.251000,0.910324,1.181651,-0.285617,-0.678453,1.382304
0.260000,0,0.250744,0.911469,1.182804,-0.286493,-0.685874,1.390680
0.262000,0,0.250493,0.912592,1.183927,-0.287372,-0.693347,1.399035
0.264000,0,0.250248,0.913692,1.185013,-0.288254,-0.700835,1.407323
0.266000,0,0.250008,0.914762,1.186053,-0.289142,-0.708338,1.415546
0.268000,0,0.249772,0.915799,1.187041,-0.290033,-0.715838,1.423680
0.270000,0,0.249541,0.916803,1.187973,-0.290926,-0.723318,1.431707
0.272000,0,0.249315,0.917772,1.188846,-0.291819,-0.730764,1.439607
0.274000,0,0.249096,0.918709,1.189660,-0.292710,-0.738145,1.447334
0.276000,0,0.248885,0.919613,1.190414,-0.293598,-0.745449,1.454873
0.278000,0,0.248680,0.920482,1.191104,-0.294484,-0.752676,1.462237
0.280000,0,0.248482,0.921318,1.191730,-0.295368,-0.759813,1.469411
0.282000,0,0.248292,0.922121,1.192292,-0.296246,-0.766849,1.476386
0.284000,0,0.248110,0.922894,1.192793,-0.297113,-0.773780,1.483145
0.286000,0,0.247938,0.923640,1.193234,-0.297964,-0.780584,1.489646
0.288000,0,0.247775,0.924359,1.193615,-0.298802,-0.787262,1.495908
0.290000,0,0.247622,0.925051,1.193937,-0.299626,-0.793806,1.501919
0.292000,0,0.247480,0.925722,1.194201,-0.300433,-0.800205,1.507676
0.294000,0,0.247349,0.926374,1.194412,-0.301222,-0.806451,1.513169
0.296000,0,0.247231,0.927011,1.194569,-0.301994,-0.812536,1.518390
0.298000,0,0.247127,0.927638,1.194676,-0.302745,-0.818443,1.523306
0.300000,0,0.247037,0.928254,1.194734,-0.303476,-0.824175,1.527938
0.302000,0,0.246961,0.928862,1.194744,-0.304188,-0.829725,1.532280
0.304000,0,0.246900,0.929464,1.194707,-0.304877,-0.835085,1.536331
0.306000,0,0.246855,0.930061,1.194626,-0.305543,-0.840250,1.540085
0.308000,0,0.246824,0.930657,1.194505,-0.306167,-0.845226,1.543508
0.310000,0,0.246809,0.931252,1.194347,-0.306748,-0.850012,1.546596
0.312000,0,0.246811,0.931848,1.194150,-0.307288,-0.854611,1.549371
0.314000,0,0.246828,0.932444,1.193916,-0.307787,-0.859019,1.551836
0.316000,0,0.246864,0.933044,1.193646,-0.308244,-0.863231,1.553992
0.318000,0,0.246917,0.933649,1.193341,-0.308660,-0.867245,1.555839
0.320000,0,0.246988,0.934262,1.193005,-0.309032,-0.871055,1.557354
0.322000,0,0.247080,0.934883,1.192638,-0.309363,-0.874660,1.558562
0.324000,0,0.247191,0.935517,1.192246,-0.309656,-0.878065,1.559482
0.326000,0,0.247322,0.936164,1.191829,-0.309911,-0.881268,1.560116
0.328000,0,0.247472,0.936824,1.191389,-0.310129,-0.884268,1.560461
0.330000,0,0.247643,0.937500,1.190927,-0.310305,-0.887064,1.560493
0.332000,0,0.247832,0.938191,1.190448,-0.310419,-0.889678,1.560210
0.334000,0,0.248039,0.938899,1.189953,-0.310469,-0.892113,1.559613
0.336000,0,0.248266,0.939624,1.189441,-0.310457,-0.894370,1.558723
0.338000,0,0.248514,0.940368,1.188914,-0.310377,-0.896436,1.557487
0.340000,0,0.248782,0.941131,1.188372,-0.310236,-0.898325,1.555949
0.342000,0,0.249071,0.941915,1.187816,-0.310037,-0.900036,1.554120
0.344000,0,0.249380,0.942719,1.187247,-0.309782,-0.901576,1.552004
0.346000,0,0.249710,0.943545,1.186667,-0.309472,-0.902945,1.549604
0.348000,0,0.250062,0.944392,1.186075,-0.309109,-0.904146,1.546936
0.350000,0,0.250438,0.945265,1.185472,-0.308685,-0.905161,1.543949
0.352000,0,0.250836,0.946162,1.184857,-0.308212,-0.906002,1.540705
0.354000,0,0.251256,0.947083,1.184234,-0.307692,-0.906677,1.537202
0.356000,0,0.251698,0.948029,1.183603,-0.307125,-0.907188,1.533443
0.358000,0,0.252160,0.949001,1.182970,-0.306487,-0.907564,1.529424
0.360000,0,0.252642,0.949999,1.182334,-0.305780,-0.907806,1.525149
0.362000,0,0.253146,0.951024,1.181696,-0.305006,-0.907916,1.520623
0.364000,0,0.253671,0.952076,1.181057,-0.304168,-0.907897,1.515862
0.366000,0,0.254220,0.953158,1.180416,-0.303269,-0.907747,1.510871
0.368000,0,0.254790,0.954269,1.179774,-0.302314,-0.907468,1.505648
0.370000,0,0.255382,0.955410,1.179134,-0.301309,-0.907060,1.500199
0.372000,0,0.255998,0.956582,1.178493,-0.300255,-0.906524,1.494537
0.374000,0,0.256637,0.957785,1.177855,-0.299157,-0.905862,1.488664
0.376000,0,0.257298,0.959021,1.177217,-0.298024,-0.905066,1.482594
0.378000,0,0.257984,0.960289,1.176580,-0.296858,-0.904138,1.476335
0.380000,0,0.258691,0.961589,1.175947,-0.295658,-0.903089,1.469886
0.382000,0,0.259418,0.962918,1.175326,-0.294396,-0.901973,1.463209
0.384000,0,0.260165,0.964280,1.174721,-0.293077,-0.900792,1.456313
0.386000,0,0.260931,0.965675,1.174131,-0.291704,-0.899549,1.449209
0.388000,0,0.261719,0.967106,1.173556,-0.290281,-0.898247,1.441917
0.390000,0,0.262530,0.968574,1.172992,-0.288828,-0.896856,1.434465
0.392000,0,0.263364,0.970082,1.172438,-0.287361,-0.895364,1.426880
0.394000,0,0.264220,0.971627,1.171896,-0.285872,-0.893789,1.419151
0.396000,0,0.265098,0.973210,1.171367,-0.284367,-0.892131,1.411290
0.398000,0,0.265998,0.974831,1.170849,-0.282846,-0.890390,1.403304
0.400000,0,0.266920,0.976490,1.170343,-0.281318,-0.888562,1.395208
0.402000,0,0.267865,0.978188,1.169846,-0.279791,-0.886642,1.387021
0.404000,0,0.268833,0.979924,1.169360,-0.278275,-0.884626,1.378762
0.406000,0,0.269828,0.981707,1.168871,-0.276835,-0.882418,1.370618
0.408000,0,0.270838,0.983519,1.168407,-0.275366,-0.880210,1.362267
0.410000,0,0.271865,0.985360,1.167967,-0.273869,-0.878000,1.353722
0.412000,0,0.272912,0.987236,1.167544,-0.272363,-0.875761,1.345054
0.414000,0,0.273980,0.989152,1.167134,-0.270874,-0.873452,1.336361
0.416000,1,0.275134,0.991203,1.166789,-0.269576,-0.872386,1.330024
0.418000,1,0.276353,0.993379,1.166496,-0.268450,-0.872373,1.325676
0.420000,1,0.277551,0.996333,1.168152,-0.267339,-0.873012,1.322563
0.422000,1,0.278711,1.000028,1.171689,-0.266234,-0.874192,1.320482
0.424000,1,0.279820,1.004401,1.176977,-0.265132,-0.875822,1.319262
0.426000,1,0.280864,1.009418,1.183966,-0.264026,-0.877817,1.318754
0.428000,1,0.281850,1.014903,1.192402,-0.262932,-0.880124,1.318851
0.430000,1,0.282770,1.020763,1.202385,-0.261838,-0.882686,1.319433
0.432000,1,0.283624,1.026887,1.213554,-0.260749,-0.885461,1.320419
0.434000,1,0.284407,1.033258,1.225822,-0.259653,-0.888398,1.321720
0.436000,1,0.285119,1.039805,1.239062,-0.258549,-0.891463,1.323270
0.438000,1,0.285772,1.046445,1.252947,-0.257442,-0.894632,1.325022
0.440000,1,0.286367,1.053032,1.267169,-0.256342,-0.897891,1.326937
0.442000,1,0.286904,1.059558,1.281699,-0.255242,-0.901209,1.328963
0.444000,1,0.287382,1.065969,1.296530,-0.254138,-0.904568,1.331062
0.446000,1,0.287813,1.072174,1.311404,-0.253042,-0.907962,1.333213
0.448000,1,0.288210,1.078140,1.326238,-0.251955,-0.911376,1.335392
0.450000,1,0.288574,1.083864,1.341037,-0.250871,-0.914794,1.337569
0.452000,1,0.288902,1.089291,1.355734,-0.249795,-0.918210,1.339729
0.454000,1,0.289204,1.094402,1.370292,-0.248726,-0.921618,1.341858
0.456000,1,0.289472,1.099173,1.384700,-0.247664,-0.925012,1.343940
0.458000,1,0.289681,1.103609,1.398957,-0.246604,-0.928385,1.345969
0.460000,1,0.289822,1.107691,1.413055,-0.245547,-0.931736,1.347935
0.462000,1,0.289896,1.111405,1.426974,-0.244494,-0.935061,1.349831
0.464000,1,0.289906,1.114736,1.440693,-0.243445,-0.938363,1.351656
0.466000,1,0.289841,1.117654,1.454272,-0.242400,-0.941652,1.353408
0.468000,1,0.289705,1.120159,1.467730,-0.241356,-0.944923,1.355080
0.470000,1,0.289515,1.122251,1.480911,-0.240321,-0.948178,1.356681
0.472000,1,0.289277,1.123920,1.493774,-0.239298,-0.951421,1.358209
0.474000,1,0.288975,1.125134,1.506380,-0.238286,-0.954660,1.359666
0.476000,1,0.288618,1.125892,1.518707,-0.237287,-0.957894,1.361052
0.478000,1,0.288217,1.126216,1.530680,-0.236302,-0.961118,1.362367
0.480000,1,0.287774,1.126107,1.542281,-0.235333,-0.964332,1.363610
0.482000,1,0.287278,1.125568,1.553527,-0.234379,-0.967538,1.364786
0.484000,1,0.286698,1.124553,1.564482,-0.233438,-0.970747,1.365895
0.486000,1,0.286055,1.123099,1.575083,-0.232513,-0.973950,1.366938
0.488000,1,0.285353,1.121211,1.585361,-0.231605,-0.977148,1.367912
0.490000,1,0.284600,1.118898,1.595245,-0.230716,-0.980340,1.368824
0.492000,1,0.283778,1.116120,1.604763,-0.229846,-0.983538,1.369679
0.494000,1,0.282906,1.112926,1.613870,-0.228996,-0.986733,1.370475
0.496000,1,0.281990,1.109326,1.622556,-0.228169,-0.989926,1.371217
0.498000,1,0.281034,1.105328,1.630852,-0.227363,-0.993119,1.371905
0.500000,1,0.280028,1.100933,1.638734,-0.226580,-0.996313,1.372543
0.502000,1,0.278970,1.096149,1.646202,-0.225819,-0.999510,1.373134
0.504000,1,0.277864,1.090991,1.653252,-0.225081,-1.002711,1.373679
0.506000,1,0.276711,1.085470,1.659882,-0.224367,-1.005915,1.374179
0.508000,1,0.275517,1.079593,1.666119,-0.223679,-1.009125,1.374636
0.510000,1,0.274276,1.073355,1.671988,-0.223018,-1.012344,1.375053
0.512000,1,0.272992,1.066769,1.677489,-0.222383,-1.015574,1.375431
0.514000,1,0.271661,1.059859,1.682585,-0.221773,-1.018812,1.375777
0.516000,1,0.270287,1.052643,1.687271,-0.221189,-1.022059,1.376091
0.518000,1,0.268873,1.045126,1.691569,-0.220634,-1.025316,1.376375
0.520000,1,0.267423,1.037327,1.695479,-0.220107,-1.028587,1.376634
0.522000,1,0.265939,1.029278,1.698979,-0.219606,-1.031868,1.376872
0.524000,1,0.264423,1.021002,1.702068,-0.219132,-1.035160,1.377091
0.526000,1,0.262877,1.012512,1.704759,-0.218686,-1.038464,1.377292
0.528000,1,0.261304,1.003815,1.707073,-0.218269,-1.041784,1.377478
0.530000,1,0.259709,0.994935,1.709009,-0.217883,-1.045120,1.377649
0.532000,1,0.258110,0.985907,1.710562,-0.217526,-1.048469,1.377808
0.534000,1,0.256517,0.976760,1.711743,-0.217200,-1.051830,1.377957
0.536000,1,0.254933,0.967499,1.712573,-0.216907,-1.055209,1.378096
0.538000,1,0.253357,0.958137,1.713062,-0.216647,-1.058607,1.378230
0.540000,1,0.251790,0.948708,1.713198,-0.216417,-1.062023,1.378360
0.542000,1,0.250235,0.939215,1.713001,-0.216219,-1.065461,1.378488
0.544000,1,0.248698,0.929703,1.712450,-0.216051,-1.068916,1.378616
0.546000,1,0.247180,0.920174,1.711565,-0.215915,-1.072396,1.378750
0.548000,1,0.245685,0.910649,1.710346,-0.215810,-1.075901,1.378889
0.550000,1,0.244215,0.901160,1.708788,-0.215733,-1.079429,1.379037
0.552000,1,0.242773,0.891725,1.706900,-0.215685,-1.082982,1.379193
0.554000,1,0.241344,0.882329,1.704659,-0.215666,-1.086567,1.379364
0.556000,1,0.239930,0.872975,1.702087,-0.215679,-1.090186,1.379549
0.558000,1,0.238584,0.863739,1.699134,-0.215725,-1.093832,1.379742
0.560000,1,0.237332,0.854691,1.695841,-0.215802,-1.097501,1.379939
0.562000,1,0.236175,0.845847,1.692228,-0.215909,-1.101197,1.380144
0.564000,1,0.235111,0.837216,1.688314,-0.216046,-1.104922,1.380357
0.566000,1,0.234138,0.828797,1.684119,-0.216211,-1.108684,1.380586
0.568000,1,0.233246,0.820583,1.679616,-0.216406,-1.112484,1.380833
0.570000,1,0.232434,0.812600,1.674860,-0.216627,-1.116323,1.381099
0.572000,1,0.231702,0.804856,1.669869,-0.216875,-1.120201,1.381383
0.574000,1,0.231046,0.797355,1.664654,-0.217148,-1.124120,1.381686
0.576000,1,0.230466,0.790098,1.659229,-0.217445,-1.128082,1.382012
0.578000,1,0.229960,0.783088,1.653603,-0.217768,-1.132087,1.382362
0.580000,1,0.229521,0.776336,1.647779,-0.218114,-1.136135,1.382735
0.582000,1,0.229351,0.770039,1.641603,-0.218498,-1.140206,1.383113
0.584000,1,0.229450,0.764207,1.635087,-0.218917,-1.144303,1.383496
0.586000,1,0.229817,0.758838,1.628249,-0.219369,-1.148427,1.383884
0.588000,1,0.230421,0.753911,1.621129,-0.219851,-1.152582,1.384282
0.590000,1,0.231195,0.749374,1.613795,-0.220356,-1.156777,1.384697
0.592000,1,0.232099,0.745199,1.606283,-0.220883,-1.161014,1.385131
0.594000,1,0.233102,0.741361,1.598620,-0.221429,-1.165296,1.385587
0.596000,1,0.234205,0.737857,1.590816,-0.221994,-1.169620,1.386061
0.598000,1,0.235378,0.734662,1.582896,-0.222576,-1.173988,1.386554
0.600000,1,0.236546,0.731623,1.574991,-0.223172,-1.178415,1.387078
0.602000,1,0.238296,0.730460,1.571323,-0.223932,-1.183079,1.387714
0.604000,0,0.240484,0.730900,1.571133,-0.224824,-1.187945,1.388447
0.606000,0,0.243009,0.732671,1.573766,-0.225823,-1.192973,1.389256
0.608000,0,0.244635,0.735408,1.576823,-0.227275,-1.198055,1.390459
0.610000,0,0.245443,0.738972,1.580261,-0.229213,-1.203163,1.391976
0.612000,0,0.245543,0.743212,1.583998,-0.231566,-1.208245,1.393695
0.614000,0,0.245008,0.748009,1.587972,-0.234329,-1.213291,1.395607
0.616000,0,0.243927,0.753237,1.592098,-0.237422,-1.218270,1.397691
0.618000,0,0.242397,0.758778,1.596289,-0.240715,-1.223150,1.399929
0.620000,0,0.240505,0.764528,1.600476,-0.244211,-1.227713,1.403997
0.622000,0,0.238276,0.770433,1.604627,-0.247901,-1.231944,1.409806
0.624000,0,0.235759,0.776429,1.608694,-0.251740,-1.235812,1.417344
0.626000,0,0.233076,0.782368,1.612540,-0.255572,-1.239362,1.426242
0.628000,0,0.230295,0.788169,1.616089,-0.259314,-1.242599,1.436267
0.630000,0,0.227480,0.793766,1.619279,-0.262913,-1.245515,1.447229
0.632000,0,0.224695,0.799043,1.622006,-0.266157,-1.248207,1.458797
0.634000,0,0.221944,0.803992,1.624266,-0.269048,-1.250669,1.470930
0.636000,0,0.219275,0.808629,1.626094,-0.271600,-1.252942,1.483425
0.638000,0,0.216694,0.812985,1.627534,-0.273855,-1.255043,1.496190
0.640000,0,0.214207,0.817088,1.628624,-0.275868,-1.256986,1.509135
0.642000,0,0.211812,0.820928,1.629350,-0.277638,-1.258767,1.522239
0.644000,0,0.209511,0.824533,1.629745,-0.279200,-1.260379,1.535445
0.646000,0,0.207303,0.827925,1.629836,-0.280579,-1.261805,1.548720
0.648000,0,0.205196,0.831163,1.629693,-0.281846,-1.263021,1.561940
0.650000,0,0.203188,0.834262,1.629335,-0.283020,-1.264006,1.575077
0.652000,0,0.201276,0.837209,1.628743,-0.284100,-1.264760,1.588135
0.654000,0,0.199458,0.840017,1.627935,-0.285105,-1.265263,1.601069
0.656000,0,0.197737,0.842727,1.626957,-0.286068,-1.265470,1.613758
0.658000,0,0.196103,0.845344,1.625822,-0.286946,-1.265400,1.626164
0.660000,0,0.194552,0.847851,1.624511,-0.287739,-1.265055,1.638302
0.662000,0,0.193085,0.850280,1.623062,-0.288457,-1.264404,1.650099
0.664000,0,0.191697,0.852640,1.621486,-0.289107,-1.263430,1.661529
0.666000,0,0.190388,0.854937,1.619789,-0.289695,-1.262120,1.672575
0.668000,0,0.189156,0.857176,1.617976,-0.290223,-1.260460,1.683218
0.670000,0,0.187999,0.859359,1.616051,-0.290693,-1.258436,1.693449
0.672000,0,0.186915,0.861490,1.614018,-0.291108,-1.256041,1.703249
0.674000,0,0.185903,0.863560,1.611864,-0.291470,-1.253278,1.712646
0.676000,0,0.184961,0.865586,1.609613,-0.291779,-1.250133,1.721588
0.678000,0,0.184086,0.867570,1.607270,-0.292035,-1.246599,1.730060
0.680000,0,0.183281,0.869525,1.604839,-0.292243,-1.242601,1.738073
0.682000,0,0.182544,0.871442,1.602309,-0.292411,-1.238142,1.745661
