time,roll,pitch,yaw,roll_d,pitch_d,yaw_d
0.158000,3.090493,3.118341,-3.137229,3.141205,3.141353,-3.141562
0.158000,3.091096,3.118502,-3.137275,3.141205,3.141353,-3.141562
0.160000,3.091699,3.118668,-3.137321,3.141205,3.141353,-3.141562
0.164000,3.092904,3.119011,-3.137416,3.141205,3.141353,-3.141562
0.164000,3.092904,3.119011,-3.137416,3.141205,3.141353,-3.141562
0.166000,3.093502,3.119187,-3.137464,3.141205,3.141353,-3.141562
0.168000,3.094094,3.119363,-3.137512,3.141205,3.141353,-3.141562
0.172000,3.094680,3.119542,-3.137561,3.141205,3.141353,-3.141562
0.174000,3.095259,3.119722,-3.137609,3.141205,3.141353,-3.141562
0.174000,3.095829,3.119902,-3.137657,3.141205,3.141353,-3.141562
0.176000,3.096391,3.120082,-3.137705,3.141205,3.141353,-3.141562
0.180000,3.096942,3.120261,-3.137753,3.141205,3.141353,-3.141562
0.182000,3.097482,3.120439,-3.137800,3.141205,3.141353,-3.141562
0.182000,3.098010,3.120614,-3.137847,3.141205,3.141353,-3.141562
0.184000,3.098526,3.120787,-3.137892,3.141205,3.141353,-3.141562
0.188000,3.099029,3.120957,-3.137937,3.141205,3.141353,-3.141562
0.188000,3.099516,3.121122,-3.137982,3.141205,3.141353,-3.141562
0.190000,3.099989,3.121283,-3.138025,3.141205,3.141353,-3.141562
0.192000,3.100446,3.121440,-3.138067,3.141205,3.141353,-3.141562
0.196000,3.100889,3.121592,-3.138108,3.141205,3.141353,-3.141562
0.198000,3.101315,3.121739,-3.138148,3.141205,3.141353,-3.141562
0.198000,3.101725,3.121881,-3.138186,3.141205,3.141353,-3.141562
0.200000,3.102118,3.122016,-3.138224,3.141205,3.141353,-3.141562
0.204000,3.102854,3.122268,-3.138294,3.141205,3.141353,-3.141562
0.204000,3.102854,3.122268,-3.138294,3.141205,3.141353,-3.141562
0.206000,3.103197,3.122384,-3.138327,3.141205,3.141353,-3.141562
0.210000,3.103521,3.122492,-3.138359,3.141205,3.141353,-3.141562
0.210000,3.103829,3.122594,-3.138389,3.141205,3.141353,-3.141562
0.212000,3.104120,3.122688,-3.138418,3.141205,3.141353,-3.141562
0.214000,3.104394,3.122775,-3.138445,3.141205,3.141353,-3.141562
0.218000,3.104650,3.122854,-3.138471,3.141205,3.141353,-3.141562
0.220000,3.104890,3.122925,-3.138495,3.141205,3.141353,-3.141562
0.222000,3.105112,3.122989,-3.138517,3.141205,3.141353,-3.141562
0.222000,3.105319,3.123045,-3.138538,3.141205,3.141353,-3.141562
0.224000,3.105510,3.123093,-3.138558,3.141205,3.141353,-3.141562
0.228000,3.105685,3.123134,-3.138575,3.141205,3.141353,-3.141562
0.230000,3.105845,3.123168,-3.138591,3.141205,3.141353,-3.141562
0.232000,3.105989,3.123194,-3.138606,3.141205,3.141353,-3.141562
0.232000,3.106119,3.123214,-3.138619,3.141205,3.141353,-3.141562
0.234000,3.106234,3.123225,-3.138631,3.141205,3.141353,-3.141562
0.238000,3.106336,3.123230,-3.138641,3.141205,3.141353,-3.141562
0.240000,3.106424,3.123228,-3.138649,3.141205,3.141353,-3.141562
0.242000,3.106499,3.123219,-3.138656,3.141205,3.141353,-3.141562
0.242000,3.106561,3.123203,-3.138662,3.141205,3.141353,-3.141562
0.246000,3.106611,3.123181,-3.138666,3.141205,3.141353,-3.141562
0.246000,3.106650,3.123153,-3.138669,3.141205,3.141353,-3.141562
0.248000,3.106677,3.123119,-3.138670,3.141205,3.141353,-3.141562
0.252000,3.106693,3.123079,-3.138670,3.141205,3.141353,-3.141562
0.254000,3.106699,3.123034,-3.138669,3.141205,3.141353,-3.141562
0.254000,3.106696,3.122984,-3.138666,3.141205,3.141353,-3.141562
0.258000,3.106682,3.122929,-3.138663,3.141205,3.141353,-3.141562
0.258000,3.106659,3.122869,-3.138658,3.141205,3.141353,-3.141562
0.260000,3.106628,3.122805,-3.138652,3.141205,3.141353,-3.141562
0.264000,3.106541,3.122665,-3.138637,3.141205,3.141353,-3.141562
0.266000,3.106541,3.122665,-3.138637,3.141205,3.141353,-3.141562
0.266000,3.106486,3.122589,-3.138628,3.141205,3.141353,-3.141562
0.268000,3.106425,3.122510,-3.138619,3.141205,3.141353,-3.141562
0.272000,3.106284,3.122344,-3.138597,3.141205,3.141353,-3.141562
0.274000,3.106284,3.122344,-3.138597,3.141205,3.141353,-3.141562
0.274000,3.106205,3.122256,-3.138585,3.141205,3.141353,-3.141562
0.276000,3.106121,3.122167,-3.138572,3.141205,3.141353,-3.141562
0.278000,3.106031,3.122075,-3.138559,3.141205,3.141353,-3.141562
0.282000,3.105938,3.121982,-3.138545,3.141205,3.141353,-3.141562
0.284000,3.105840,3.121887,-3.138530,3.141205,3.141353,-3.141562
0.284000,3.105739,3.121791,-3.138516,3.141205,3.141353,-3.141562
0.286000,3.105634,3.121693,-3.138500,3.141205,3.141353,-3.141562
0.288000,3.105526,3.121594,-3.138484,3.141205,3.141353,-3.141562
0.292000,3.105415,3.121495,-3.138468,3.141205,3.141353,-3.141562
0.294000,3.105302,3.121394,-3.138451,3.141205,3.141353,-3.141562
0.294000,3.105187,3.121294,-3.138434,3.141205,3.141353,-3.141562
0.296000,3.105070,3.121193,-3.138417,3.141205,3.141353,-3.141562
0.298000,3.104952,3.121091,-3.138400,3.141205,3.141353,-3.141562
0.302000,3.104833,3.120990,-3.138382,3.141205,3.141353,-3.141562
0.302000,3.104713,3.120890,-3.138364,3.141205,3.141353,-3.141562
0.304000,3.104592,3.120789,-3.138347,3.141205,3.141353,-3.141562
0.306000,3.104471,3.120690,-3.138329,3.141205,3.141353,-3.141562
0.308000,3.104350,3.120591,-3.138311,3.141205,3.141353,-3.141562
0.312000,3.104230,3.120493,-3.138293,3.141205,3.141353,-3.141562
0.314000,3.104110,3.120396,-3.138275,3.141205,3.141353,-3.141562
0.314000,3.103991,3.120300,-3.138257,3.141205,3.141353,-3.141562
0.316000,3.103872,3.120206,-3.138239,3.141205,3.141353,-3.141562
0.320000,3.103755,3.120113,-3.138222,3.141205,3.141353,-3.141562
0.320000,3.103639,3.120021,-3.138204,3.141205,3.141353,-3.141562
0.322000,3.103525,3.119931,-3.138187,3.141205,3.141353,-3.141562
0.324000,3.103412,3.119843,-3.138170,3.141205,3.141353,-3.141562
0.326000,3.103301,3.119756,-3.138153,3.141205,3.141353,-3.141562
0.328000,3.103192,3.119672,-3.138136,3.141205,3.141353,-3.141562
0.330000,3.103085,3.119589,-3.138120,3.141205,3.141353,-3.141562
0.332000,3.102981,3.119509,-3.138103,3.141205,3.141353,-3.141562
0.334000,3.102879,3.119431,-3.138088,3.141205,3.141353,-3.141562
0.336000,3.102779,3.119355,-3.138072,3.141205,3.141353,-3.141562
0.338000,3.102682,3.119281,-3.138057,3.141205,3.141353,-3.141562
0.340000,3.102587,3.119209,-3.138042,3.141205,3.141353,-3.141562
0.342000,3.102496,3.119140,-3.138028,3.141205,3.141353,-3.141562
0.344000,3.102407,3.119074,-3.138014,3.141205,3.141353,-3.141562
0.346000,3.102321,3.119010,-3.138000,3.141205,3.141353,-3.141562
0.350000,3.102238,3.118948,-3.137987,3.141205,3.141353,-3.141562
0.350000,3.102158,3.118889,-3.137974,3.141205,3.141353,-3.141562
0.352000,3.102082,3.118832,-3.137962,3.141205,3.141353,-3.141562
0.356000,3.102008,3.118778,-3.137950,3.141205,3.141353,-3.141562
0.356000,3.101937,3.118726,-3.137938,3.141205,3.141353,-3.141562
0.358000,3.101869,3.118677,-3.137927,3.141205,3.141353,-3.141562
0.360000,3.101805,3.118631,-3.137917,3.141205,3.141353,-3.141562
0.364000,3.101743,3.118586,-3.137906,3.141205,3.141353,-3.141562
0.364000,3.101684,3.118545,-3.137897,3.141205,3.141353,-3.141562
0.366000,3.101629,3.118505,-3.137887,3.141205,3.141353,-3.141562
0.370000,3.101576,3.118468,-3.137878,3.141205,3.141353,-3.141562
0.370000,3.101526,3.118434,-3.137870,3.141205,3.141353,-3.141562
0.372000,3.101479,3.118403,-3.137862,3.141205,3.141353,-3.141562
0.374000,3.101434,3.118375,-3.137854,3.141205,3.141353,-3.141562
0.376000,3.101392,3.118349,-3.137847,3.141205,3.141353,-3.141562
0.378000,3.101352,3.118326,-3.137841,3.141205,3.141353,-3.141562
0.380000,3.101315,3.118305,-3.137835,3.141205,3.141353,-3.141562
0.384000,3.101280,3.118288,-3.137829,3.141205,3.141353,-3.141562
0.384000,3.101248,3.118272,-3.137824,3.141205,3.141353,-3.141562
0.386000,3.101218,3.118259,-3.137819,3.141205,3.141353,-3.141562
0.388000,3.101191,3.118248,-3.137815,3.141205,3.141353,-3.141562
0.392000,3.101166,3.118239,-3.137811,3.141205,3.141353,-3.141562
0.392000,3.101142,3.118232,-3.137807,3.141205,3.141353,-3.141562
0.394000,3.101120,3.118226,-3.137804,3.141205,3.141353,-3.141562
0.398000,3.101101,3.118223,-3.137801,3.141205,3.141353,-3.141562
0.398000,3.101083,3.118221,-3.137798,3.141205,3.141353,-3.141562
0.400000,3.101066,3.118220,-3.137796,3.141205,3.141353,-3.141562
0.402000,3.101052,3.118220,-3.137794,3.141205,3.141353,-3.141562
0.406000,3.101038,3.118222,-3.137792,3.141205,3.141353,-3.141562
0.406000,3.101026,3.118225,-3.137791,3.141205,3.141353,-3.141562
0.408000,3.101015,3.118230,-3.137789,3.141205,3.141353,-3.141562
0.412000,3.101006,3.118235,-3.137788,3.141205,3.141353,-3.141562
0.414000,3.100998,3.118240,-3.137787,3.141205,3.141353,-3.141562
0.414000,3.100990,3.118247,-3.137786,3.141205,3.141353,-3.141562
0.416000,3.100984,3.118254,-3.137785,3.141205,3.141353,-3.141562
0.420000,3.100979,3.118262,-3.137785,3.141205,3.141353,-3.141562
0.422000,3.100974,3.118270,-3.137784,3.141205,3.141353,-3.141562
0.422000,3.100971,3.118279,-3.137784,3.141205,3.141353,-3.141562
0.424000,3.100968,3.118288,-3.137784,3.141205,3.141353,-3.141562
0.428000,3.100965,3.118297,-3.137784,3.141205,3.141353,-3.141562
0.430000,3.100963,3.118308,-3.137783,3.141205,3.141353,-3.141562
0.430000,3.100961,3.118318,-3.137783,3.141205,3.141353,-3.141562
0.432000,3.100959,3.118329,-3.137784,3.141205,3.141353,-3.141562
0.434000,3.100958,3.118339,-3.137784,3.141205,3.141353,-3.141562
0.438000,3.100957,3.118350,-3.137784,3.141205,3.141353,-3.141562
0.440000,3.100956,3.118362,-3.137784,3.141205,3.141353,-3.141562
0.442000,3.100956,3.118373,-3.137784,3.141205,3.141353,-3.141562
0.442000,3.100955,3.118384,-3.137785,3.141205,3.141353,-3.141562
0.444000,3.100954,3.118396,-3.137785,3.141205,3.141353,-3.141562
0.446000,3.100954,3.118407,-3.137785,3.141205,3.141353,-3.141562
0.448000,3.100953,3.118418,-3.137786,3.141205,3.141353,-3.141562
0.450000,3.100952,3.118429,-3.137786,3.141205,3.141353,-3.141562
0.452000,3.100951,3.118440,-3.137786,3.141205,3.141353,-3.141562
