time,roll,pitch,yaw,roll_d,pitch_d,yaw_d
0.164000,3.135734,3.117190,3.129261,3.141064,3.141431,3.141132
0.166000,3.135708,3.117366,3.129706,3.141064,3.141431,3.141132
0.168000,3.135667,3.117557,3.130168,3.141064,3.141431,3.141132
0.172000,3.135539,3.117983,3.131137,3.141064,3.141431,3.141132
0.174000,3.135539,3.117983,3.131137,3.141064,3.141431,3.141132
0.174000,3.135452,3.118218,3.131644,3.141064,3.141431,3.141132
0.176000,3.135353,3.118467,3.132159,3.141064,3.141431,3.141132
0.178000,3.135239,3.118728,3.132686,3.141064,3.141431,3.141132
0.180000,3.135110,3.119003,3.133224,3.141064,3.141431,3.141132
0.184000,3.134807,3.119589,3.134333,3.141064,3.141431,3.141132
0.186000,3.134807,3.119589,3.134333,3.141064,3.141431,3.141132
0.188000,3.134633,3.119899,3.134902,3.141064,3.141431,3.141132
0.188000,3.134443,3.120218,3.135491,3.141064,3.141431,3.141132
0.190000,3.134236,3.120547,3.136104,3.141064,3.141431,3.141132
0.192000,3.134011,3.120885,3.136741,3.141064,3.141431,3.141132
0.196000,3.133514,3.121591,3.138081,3.141064,3.141431,3.141132
0.198000,3.133514,3.121591,3.138081,3.141064,3.141431,3.141132
0.200000,3.133244,3.121959,3.138779,3.141064,3.141431,3.141132
0.200000,3.132962,3.122337,3.139487,3.141064,3.141431,3.141132
0.202000,3.132670,3.122725,3.140200,3.141064,3.141431,3.141132
0.204000,3.132365,3.123122,3.140920,3.141064,3.141431,3.141132
0.208000,3.131721,3.123941,-3.140811,3.141064,3.141431,3.141132
0.210000,3.131721,3.123941,-3.140811,3.141064,3.141431,3.141132
0.212000,3.131382,3.124362,-3.140082,3.141064,3.141431,3.141132
0.212000,3.131021,3.124784,-3.139294,3.141064,3.141431,3.141132
0.214000,3.130640,3.125209,-3.138450,3.141064,3.141431,3.141132
0.216000,3.130239,3.125639,-3.137550,3.141064,3.141431,3.141132
0.220000,3.129400,3.126526,-3.135661,3.141064,3.141431,3.141132
0.222000,3.129400,3.126526,-3.135661,3.141064,3.141431,3.141132
0.224000,3.128973,3.126988,-3.134730,3.141064,3.141431,3.141132
0.224000,3.128549,3.127461,-3.133842,3.141064,3.141431,3.141132
0.226000,3.128127,3.127943,-3.133004,3.141064,3.141431,3.141132
0.228000,3.127704,3.128432,-3.132220,3.141064,3.141431,3.141132
0.232000,3.127279,3.128925,-3.131487,3.141064,3.141431,3.141132
0.234000,3.126849,3.129418,-3.130802,3.141064,3.141431,3.141132
0.234000,3.126334,3.129957,-3.130216,3.141064,3.141431,3.141132
0.236000,3.125753,3.130529,-3.129711,3.141064,3.141431,3.141132
0.238000,3.125165,3.131115,-3.129347,3.141064,3.141431,3.141132
0.240000,3.124585,3.131706,-3.129112,3.141064,3.141431,3.141132
0.244000,3.124021,3.132294,-3.129001,3.141064,3.141431,3.141132
0.244000,3.123481,3.132874,-3.128994,3.141064,3.141431,3.141132
0.246000,3.122968,3.133443,-3.129072,3.141064,3.141431,3.141132
0.248000,3.122487,3.133996,-3.129215,3.141064,3.141431,3.141132
0.250000,3.122041,3.134533,-3.129403,3.141064,3.141431,3.141132
0.254000,3.122041,3.134533,-3.129403,3.141064,3.141431,3.141132
0.254000,3.121262,3.135547,-3.129865,3.141064,3.141431,3.141132
0.256000,3.120934,3.136023,-3.130121,3.141064,3.141431,3.141132
0.258000,3.120647,3.136476,-3.130377,3.141064,3.141431,3.141132
0.260000,3.120400,3.136909,-3.130615,3.141064,3.141431,3.141132
0.262000,3.120190,3.137322,-3.130845,3.141064,3.141431,3.141132
0.266000,3.119878,3.138091,-3.131261,3.141064,3.141431,3.141132
0.268000,3.119878,3.138091,-3.131261,3.141064,3.141431,3.141132
0.268000,3.119773,3.138447,-3.131444,3.141064,3.141431,3.141132
0.270000,3.119699,3.138785,-3.131604,3.141064,3.141431,3.141132
0.272000,3.119657,3.139105,-3.131742,3.141064,3.141431,3.141132
0.276000,3.119644,3.139407,-3.131857,3.141064,3.141431,3.141132
0.278000,3.119660,3.139692,-3.131949,3.141064,3.141431,3.141132
0.278000,3.119702,3.139960,-3.132016,3.141064,3.141431,3.141132
0.282000,3.119863,3.140447,-3.132079,3.141064,3.141431,3.141132
0.284000,3.119978,3.140668,-3.132074,3.141064,3.141431,3.141132
0.284000,3.119978,3.140668,-3.132074,3.141064,3.141431,3.141132
0.286000,3.120112,3.140874,-3.132045,3.141064,3.141431,3.141132
0.290000,3.120438,3.141246,-3.131913,3.141064,3.141431,3.141132
0.292000,3.120438,3.141246,-3.131913,3.141064,3.141431,3.141132
0.292000,3.120627,3.141412,-3.131810,3.141064,3.141431,3.141132
0.296000,3.121049,-3.141479,-3.131533,3.141064,3.141431,3.141132
0.298000,3.121049,-3.141479,-3.131533,3.141064,3.141431,3.141132
0.300000,3.121281,-3.141349,-3.131359,3.141064,3.141431,3.141132
0.300000,3.121524,-3.141231,-3.131164,3.141064,3.141431,3.141132
0.302000,3.121778,-3.141123,-3.130946,3.141064,3.141431,3.141132
0.306000,3.122317,-3.140939,-3.130446,3.141064,3.141431,3.141132
0.308000,3.122317,-3.140939,-3.130446,3.141064,3.141431,3.141132
0.308000,3.122600,-3.140861,-3.130164,3.141064,3.141431,3.141132
0.310000,3.122889,-3.140793,-3.129864,3.141064,3.141431,3.141132
0.312000,3.123185,-3.140733,-3.129542,3.141064,3.141431,3.141132
0.314000,3.123487,-3.140682,-3.129199,3.141064,3.141431,3.141132
0.318000,3.124107,-3.140604,-3.128451,3.141064,3.141431,3.141132
0.320000,3.124107,-3.140604,-3.128451,3.141064,3.141431,3.141132
0.320000,3.124423,-3.140577,-3.128047,3.141064,3.141431,3.141132
0.322000,3.124742,-3.140556,-3.127625,3.141064,3.141431,3.141132
